"#","Player","PA","AB","BA","OBP","SLG","OPS","H","2B","3B","HR","K","BB","HBP","R","GDP"
"7","Kasidi Pickering","133","92",".435",".602",".859","1.460","40","7","1","10","16","39","1","37","0"
"42","Gabbie Garcia","113","100",".420",".473",".850","1.323","42","8","1","11","9","11","0","36","2"
"2","Nelly Mcenroe-Marinas","134","116",".397",".474",".776","1.250","46","12","1","10","17","10","7","43","0"
"5","Ella Parker","125","95",".379",".512",".695","1.207","36","12","0","6","6","27","1","33","0"
"1","Cydney Sanders","116","82",".329",".518",".720","1.237","27","5","0","9","13","29","3","22","0"
"16","Abby Dayton","129","97",".320",".484",".443",".928","31","4","1","2","14","22","9","38","0"
"50","Ailana Agbayani","127","96",".313",".443",".406",".849","30","4","1","1","10","19","5","23","1"
"13","Isabela Emerling","104","87",".253",".375",".598",".973","22","3","0","9","19","15","2","19","2"
"27","Hannah Coor","38","35",".343",".378",".429",".807","12","3","0","0","2","2","0","4","0"
"14","Riley Zache","3","3",".333",".333",".333",".667","1","0","0","0","0","0","0","3","0"
"77","Sydney Barker","55","42",".310",".426",".786","1.212","13","1","2","5","5","7","3","12","0"
"99","Corri Hicks","18","15",".267",".389",".667","1.056","4","0","0","2","2","3","0","2","0"
"12","Maya Bland","35","26",".231",".412",".346",".758","6","0","0","1","8","8","0","13","0"
"9","Tia Milloy","53","49",".224",".283",".551",".834","11","1","0","5","13","3","1","13","0"
"3","Chaney Helton","7","6",".167",".286",".667",".952","1","0","0","1","3","1","0","10","0"
"22","Kadey McKay","4","2",".000",".500",".000",".500","0","0","0","0","0","2","0","1","0"
"","Team","1194","943",".341",".467",".649","1.116","322","60","7","72","137","198","32","309","5"

